N;Názov Online Kurzu;"Cena Po Zľave";"Normálna Cena";Kategória;Popis
1;Online kurz 3ds Max I. Začiatočník;123,5;163;Grafika a Dizajn;Online kurz 3ds Max I. Začiatočník je pre teba ideálny, ak si začiatočník a chceš sa naučiť pracovať s 3ds Max a animáciami. Na online kurze ťa zoznámime s používateľským prostredím a jeho nástrojmi. 3ds Max patrí k jedným z najpoužívanejších programov na tvorbu a úpravu modelov. Osvojíš si import a export médií či prácu s grafikou.
2;Online kurz ABAP Programovanie I. Začiatočník;154;201,50;SAP a ABAP;Online kurz ABAP programovanie I. Začiatočník je pre teba ideálnou voľbou, ak máš minimálne skúsenosti s ABAP. Na kurze ABAP programovanie I. Začiatočník ťa naučíme pracovať s poliami, výpočtami a textovými reťazcami. Zvládneš využívať dátový slovník a editor. Vytváranie a úprava databázových tabuliek sa pre teba stane samozrejmosťou. Osvojíš si odhaľovanie chýb a ladenie svojich aplikácií. Ako absolvent kurzu ABAP programovanie zvládneš vytvoriť svoju vlastnú aplikáciu.
3;Online kurz Adobe Acrobat I. Začiatočník;73;96,2;Grafika a Dizajn;Online kurz Adobe Acrobat I. Začiatočník je pre teba vhodný, ak sa chceš naučiť pracovať s PDF súbormi. Osvojíš si základy práce v programe Adobe Acrobat a možnosti využitia formátu PDF. Naučíme ťa súbory PDF upravovať a konvertovať súbory v inom formáte do PDF. Vytvoriť dokumenty určené na čítanie bude pre teba samozrejmosťou. Naučíme ťa tiež dokumenty vo formáte PDF zabezpečiť. Ako absolvent online kurzu Adobe Acrobat  zvládneš spracovať a exportovať PDF súbory.
4;Online kurz Adobe After Effects I. Začiatočník;84;110,5;Grafika a Dizajn;Online kurz Adobe After Effects I. Začiatočník je pre Vás vhodný, ak ste začiatočník a chcete sa naučiť pracovať v Adobe After Effects. Osvojíte si prácu s používateľským prostredím a jeho nástrojmi. Naučíme Vás animovať text, pracovať s hudbou, ovládaním vrstiev a módami prelínania.
5;Online kurz Adobe Dreamweaver I. Začiatočník;59;78;Tvorba Web Stránok;Online kurz Adobe Dreamweaver pre začiatočníkov je vhodný, ak máš minimálne skúsenosti s tvorbou webových stránok. Na kurze ťa prevedieme prostredím programu Adobe Dreamweaver, budeš vedieť pracovať s panelmi alebo s úpravou predvolieb. Preberieme základy HTML, ako písať svoj vlastný HTML kód.
6;Online kurz Adobe Illustrator I. Začiatočník;67;88,4;Grafika a Dizajn;Online kurz Adobe Illustrator I. Začiatočník je vhodný pre teba, ak si začiatočník a chceš sa naučiť pracovať s programom Adobe Illustrator. Ukážeme ti, prečo je tento program jeden z najpoužívanejších pre tvorbu a úpravu vektorovej grafiky. Pre teba ako grafika či grafické štúdio je program Illustrator samozrejmosťou. Naučíme ťa pracovať s prostredím a nástrojmi.
7;Online kurz Adobe Illustrator II. Mierne Pokročilý;90;118,40;Grafika a Dizajn;Online kurz Adobe Illustrator II. Mierne Pokročilý je určený pre teba, ak máš skúsenosti s Adobe Illustrator alebo si absolvoval kurz Adobe Illustrator I. Začiatočník. Osvojíš si tvorbu textu a pokročilé využívanie vrstiev. Kresliť s perspektívou sa stane pre teba hračkou. Naučíme ťa pracovať s prelínaním farieb a tvarov.
8;Online kurz Adobe Illustrator III. Pokročilý;89;119,6;Grafika a Dizajn;Online kurz Adobe Illustrator III. Pokročilý je určený pre teba, ak máš skúsenosti s Adobe Illustrator alebo si absolvoval online kurz Adobe Illustrator II. Mierne Pokročilý. Osvojíš si tvorbu textu a pokročilé využívanie vrstiev. Kresliť s perspektívou sa stane pre teba hračkou. Naučíme ťa pracovať s prelínaním farieb a tvarov. Pojmy ako stopy či cesty sa stanú samozrejmosťou. Ako absolvent online kurzu Adobe Illustrator III. Pokročilý hravo zvládneš prepájať obrázky Illustratoru s aplikáciami Flash alebo InDesign.
9;Online kurz Adobe InDesign I. Začiatočník;67;88,4;Grafika a Dizajn;Online kurz Adobe InDesign I. Začiatočník je pre teba vhodný, ak si začiatočník a chceš sa naučiť pracovať v InDesigne. Adobe InDesign je jeden z najobľúbenejších programov na zalomenie a sadzbu dokumentov. Naučíme ťa základné úpravy s dokumentmi a prácu s objektmi. Pojmy ako prietok textu, typografia, či rezy sa stanú pre teba samozrejmosťou.
10;Online kurz Adobe InDesign II. Mierne Pokročilý;73;96,2;Grafika a Dizajn;Online kurz Adobe InDesign II. Mierne Pokročilý je vhodný pre teba, ak máš skúsenosti s InDesign alebo si absolvoval online kurz Adobe InDesign I. Začiatočník. Uvedieme ťa do tajov tvorby bohatých interaktívnych dokumentov. Naučíme ťa exportovať súbory do formátov SWF a PDF. Osvojíš si techniky práce so štýlmi a importovanie a úprave grafiky. Ako absolvent online kurzu Adobe InDesign II. Pokročilý zvládneš efektívne pracovať s dlhými dokumentmi s priehľadnosťou.
