Date,Max Temp,Month,Holiday,Weekend,home_game,n_rides
2015-05-31,83.0,5.0,0.0,1.0,0.0,469
2015-06-01,56.0,6.0,0.0,0.0,0.0,113
2015-06-02,63.0,6.0,0.0,0.0,0.0,139
2015-06-03,71.0,6.0,0.0,0.0,0.0,131
2015-06-04,78.0,6.0,0.0,0.0,0.0,207
2015-06-05,83.0,6.0,0.0,0.0,0.0,270
2015-06-06,76.0,6.0,0.0,1.0,0.0,368
2015-06-07,85.0,6.0,0.0,1.0,0.0,414
2015-06-08,80.0,6.0,0.0,0.0,1.0,121
2015-06-09,76.0,6.0,0.0,0.0,1.0,249
2015-06-10,86.0,6.0,0.0,0.0,1.0,263
2015-06-11,90.0,6.0,0.0,0.0,0.0,216
2015-06-12,90.0,6.0,0.0,0.0,1.0,265
2015-06-13,85.0,6.0,0.0,1.0,1.0,344
2015-06-14,85.0,6.0,0.0,1.0,1.0,304
2015-06-15,84.0,6.0,0.0,0.0,1.0,180
2015-06-16,82.0,6.0,0.0,0.0,1.0,314
2015-06-17,73.0,6.0,0.0,0.0,0.0,296
2015-06-18,85.0,6.0,0.0,0.0,0.0,254
2015-06-19,79.0,6.0,0.0,0.0,0.0,289
2015-06-20,76.0,6.0,0.0,1.0,0.0,218
2015-06-21,84.0,6.0,0.0,1.0,0.0,454
2015-06-22,85.0,6.0,0.0,0.0,0.0,460
2015-06-23,84.0,6.0,0.0,0.0,1.0,376
2015-06-24,80.0,6.0,0.0,0.0,1.0,452
2015-06-25,75.0,6.0,0.0,0.0,1.0,200
2015-06-26,81.0,6.0,0.0,0.0,1.0,378
2015-06-27,76.0,6.0,0.0,1.0,1.0,183
2015-06-28,67.0,6.0,0.0,1.0,1.0,466
2015-06-29,76.0,6.0,0.0,0.0,0.0,305
2015-06-30,77.0,6.0,0.0,0.0,0.0,255
2015-07-01,75.0,7.0,0.0,0.0,0.0,387
2015-07-02,78.0,7.0,0.0,0.0,0.0,467
2015-07-03,79.0,7.0,1.0,0.0,1.0,593
2015-07-04,80.0,7.0,0.0,1.0,1.0,757
2015-07-05,82.0,7.0,0.0,1.0,1.0,600
2015-07-06,83.0,7.0,0.0,0.0,1.0,278
2015-07-07,85.0,7.0,0.0,0.0,1.0,291
2015-07-08,73.0,7.0,0.0,0.0,1.0,324
2015-07-09,82.0,7.0,0.0,0.0,1.0,228
2015-07-10,73.0,7.0,0.0,0.0,1.0,359
2015-07-11,83.0,7.0,0.0,1.0,1.0,663
2015-07-12,80.0,7.0,0.0,1.0,1.0,396
2015-07-13,82.0,7.0,0.0,0.0,0.0,297
2015-07-14,80.0,7.0,0.0,0.0,0.0,245
2015-07-15,77.0,7.0,0.0,0.0,0.0,347
2015-07-16,80.0,7.0,0.0,0.0,0.0,494
2015-07-17,83.0,7.0,0.0,0.0,0.0,417
2015-07-18,88.0,7.0,0.0,1.0,0.0,557
2015-07-19,88.0,7.0,0.0,1.0,0.0,402
2015-07-20,85.0,7.0,0.0,0.0,0.0,336
2015-07-21,84.0,7.0,0.0,0.0,0.0,343
2015-07-22,78.0,7.0,0.0,0.0,0.0,490
2015-07-23,81.0,7.0,0.0,0.0,1.0,469
2015-07-24,85.0,7.0,0.0,0.0,1.0,442
2015-07-25,87.0,7.0,0.0,1.0,1.0,649
2015-07-26,87.0,7.0,0.0,1.0,1.0,855
2015-07-27,89.0,7.0,0.0,0.0,0.0,369
2015-07-28,92.0,7.0,0.0,0.0,0.0,323
2015-07-29,91.0,7.0,0.0,0.0,0.0,328
2015-07-30,87.0,7.0,0.0,0.0,0.0,330
2015-07-31,87.0,7.0,0.0,0.0,0.0,460
2015-08-01,83.0,8.0,0.0,1.0,0.0,544
2015-08-02,87.0,8.0,0.0,1.0,0.0,537
2015-08-03,84.0,8.0,0.0,0.0,0.0,250
2015-08-04,83.0,8.0,0.0,0.0,1.0,384
2015-08-05,80.0,8.0,0.0,0.0,1.0,435
2015-08-06,72.0,8.0,0.0,0.0,0.0,404
2015-08-07,78.0,8.0,0.0,0.0,1.0,452
2015-08-08,85.0,8.0,0.0,1.0,1.0,534
2015-08-09,85.0,8.0,0.0,1.0,1.0,523
2015-08-10,84.0,8.0,0.0,0.0,0.0,296
2015-08-11,83.0,8.0,0.0,0.0,0.0,417
2015-08-12,79.0,8.0,0.0,0.0,0.0,392
2015-08-13,79.0,8.0,0.0,0.0,0.0,416
2015-08-14,86.0,8.0,0.0,0.0,0.0,403
2015-08-15,87.0,8.0,0.0,1.0,0.0,561
2015-08-16,89.0,8.0,0.0,1.0,0.0,429
2015-08-17,90.0,8.0,0.0,0.0,1.0,410
2015-08-18,80.0,8.0,0.0,0.0,1.0,282
2015-08-19,88.0,8.0,0.0,0.0,1.0,420
2015-08-20,80.0,8.0,0.0,0.0,1.0,391
2015-08-21,79.0,8.0,0.0,0.0,1.0,493
2015-08-22,80.0,8.0,0.0,1.0,1.0,676
2015-08-23,83.0,8.0,0.0,1.0,1.0,567
2015-08-24,79.0,8.0,0.0,0.0,0.0,344
2015-08-25,71.0,8.0,0.0,0.0,0.0,363
2015-08-26,68.0,8.0,0.0,0.0,0.0,361
2015-08-27,70.0,8.0,0.0,0.0,0.0,383
2015-08-28,80.0,8.0,0.0,0.0,1.0,429
2015-08-29,84.0,8.0,0.0,1.0,1.0,617
2015-08-30,84.0,8.0,0.0,1.0,1.0,449
2015-08-31,88.0,8.0,0.0,0.0,0.0,307
2015-09-01,89.0,9.0,0.0,0.0,0.0,292
2015-09-02,90.0,9.0,0.0,0.0,0.0,315
2015-09-03,90.0,9.0,0.0,0.0,0.0,381
2015-09-04,89.0,9.0,0.0,0.0,0.0,348
2015-09-05,88.0,9.0,0.0,1.0,0.0,356
2015-09-06,88.0,9.0,0.0,1.0,0.0,581
2015-09-07,91.0,9.0,1.0,0.0,0.0,548
2015-09-08,91.0,9.0,0.0,0.0,0.0,309
2015-09-09,91.0,9.0,0.0,0.0,0.0,218
2015-09-10,74.0,9.0,0.0,0.0,1.0,255
2015-09-11,81.0,9.0,0.0,0.0,1.0,374
2015-09-12,66.0,9.0,0.0,1.0,1.0,152
2015-09-13,64.0,9.0,0.0,1.0,1.0,210
2015-09-14,74.0,9.0,0.0,0.0,0.0,321
2015-09-15,80.0,9.0,0.0,0.0,1.0,375
2015-09-16,83.0,9.0,0.0,0.0,1.0,383
2015-09-17,84.0,9.0,0.0,0.0,1.0,356
2015-09-18,83.0,9.0,0.0,0.0,0.0,362
2015-09-19,83.0,9.0,0.0,1.0,0.0,528
2015-09-20,72.0,9.0,0.0,1.0,0.0,435
2015-09-21,74.0,9.0,0.0,0.0,0.0,303
2015-09-22,78.0,9.0,0.0,0.0,0.0,305
2015-09-23,79.0,9.0,0.0,0.0,0.0,357
2015-09-24,81.0,9.0,0.0,0.0,0.0,359
2015-09-25,77.0,9.0,0.0,0.0,0.0,437
2015-09-26,76.0,9.0,0.0,1.0,0.0,480
2015-09-27,76.0,9.0,0.0,1.0,0.0,352
2015-09-28,72.0,9.0,0.0,0.0,1.0,192
2015-09-29,70.0,9.0,0.0,0.0,0.0,63
2015-09-30,64.0,9.0,0.0,0.0,1.0,260
2015-10-01,67.0,10.0,0.0,0.0,0.0,306
2015-10-02,55.0,10.0,0.0,0.0,1.0,278
2015-10-03,52.0,10.0,0.0,1.0,1.0,171
2015-10-04,64.0,10.0,0.0,1.0,1.0,254
2015-10-05,72.0,10.0,0.0,0.0,0.0,259
2015-10-06,76.0,10.0,0.0,0.0,0.0,289
2015-10-07,72.0,10.0,0.0,0.0,0.0,379
2015-10-08,76.0,10.0,0.0,0.0,0.0,299
2015-10-09,71.0,10.0,0.0,0.0,0.0,214
2015-10-10,64.0,10.0,0.0,1.0,0.0,378
2015-10-11,69.0,10.0,0.0,1.0,0.0,361
2015-10-12,74.0,10.0,1.0,0.0,0.0,272
2015-10-13,63.0,10.0,0.0,0.0,0.0,201
2015-10-14,59.0,10.0,0.0,0.0,0.0,226
2015-10-15,63.0,10.0,0.0,0.0,0.0,255
2015-10-16,58.0,10.0,0.0,0.0,0.0,227
2015-10-17,45.0,10.0,0.0,1.0,0.0,156
2015-10-18,45.0,10.0,0.0,1.0,0.0,97
2015-10-19,59.0,10.0,0.0,0.0,0.0,182
2015-10-20,70.0,10.0,0.0,0.0,0.0,241
2015-10-21,72.0,10.0,0.0,0.0,0.0,269
2015-10-22,70.0,10.0,0.0,0.0,0.0,208
2015-10-23,64.0,10.0,0.0,0.0,0.0,263
2015-10-24,67.0,10.0,0.0,1.0,0.0,198
2015-10-25,63.0,10.0,0.0,1.0,0.0,157
2015-10-26,58.0,10.0,0.0,0.0,0.0,170
2015-10-27,59.0,10.0,0.0,0.0,0.0,171
2015-10-28,64.0,10.0,0.0,0.0,0.0,68
2015-10-29,60.0,10.0,0.0,0.0,0.0,192
2015-10-30,48.0,10.0,0.0,0.0,0.0,176
2015-10-31,56.0,10.0,0.0,1.0,0.0,196
2015-11-01,66.0,11.0,0.0,1.0,0.0,186
2015-11-02,68.0,11.0,0.0,0.0,0.0,190
2015-11-03,74.0,11.0,0.0,0.0,0.0,208
2015-11-04,76.0,11.0,0.0,0.0,0.0,222
2015-11-05,76.0,11.0,0.0,0.0,0.0,272
2015-11-06,69.0,11.0,0.0,0.0,0.0,176
2015-11-07,54.0,11.0,0.0,1.0,0.0,250
2015-11-08,52.0,11.0,0.0,1.0,0.0,201
2015-11-09,56.0,11.0,0.0,0.0,0.0,159
2015-11-10,54.0,11.0,0.0,0.0,0.0,55
2015-11-11,53.0,11.0,1.0,0.0,0.0,177
2015-11-12,65.0,11.0,0.0,0.0,0.0,169
2015-11-13,50.0,11.0,0.0,0.0,0.0,180
2015-11-14,47.0,11.0,0.0,1.0,0.0,129
2015-11-15,62.0,11.0,0.0,1.0,0.0,187
2015-11-16,64.0,11.0,0.0,0.0,0.0,167
2015-11-17,64.0,11.0,0.0,0.0,0.0,151
2015-11-18,65.0,11.0,0.0,0.0,0.0,160
2015-11-19,63.0,11.0,0.0,0.0,0.0,192
2015-11-20,48.0,11.0,0.0,0.0,0.0,209
2015-11-21,57.0,11.0,0.0,1.0,0.0,157
2015-11-22,39.0,11.0,0.0,1.0,0.0,45
2015-11-23,37.0,11.0,0.0,0.0,0.0,94
2015-11-24,46.0,11.0,0.0,0.0,0.0,113
2015-11-25,57.0,11.0,0.0,0.0,0.0,112
2015-11-26,64.0,11.0,1.0,0.0,0.0,104
2015-11-27,64.0,11.0,0.0,0.0,0.0,181
2015-11-28,60.0,11.0,0.0,1.0,0.0,24
2015-11-29,41.0,11.0,0.0,1.0,0.0,45
2015-11-30,46.0,11.0,0.0,0.0,0.0,77
2015-12-01,57.0,12.0,0.0,0.0,0.0,59
2015-12-02,49.0,12.0,0.0,0.0,0.0,70
2015-12-03,39.0,12.0,0.0,0.0,0.0,99
2015-12-04,46.0,12.0,0.0,0.0,0.0,109
2015-12-05,47.0,12.0,0.0,1.0,0.0,114
2015-12-06,46.0,12.0,0.0,1.0,0.0,103
2015-12-07,47.0,12.0,0.0,0.0,0.0,113
2015-12-08,47.0,12.0,0.0,0.0,0.0,91
2015-12-09,56.0,12.0,0.0,0.0,0.0,106
