"EDUID";"Názov";"Ulica";"Obec";"Web stránka";"Druh";"Vyuč.jaz.";"Počet žiakov";"Poč. žiak. dual. vzd.";"Poč.ž.zo soc.znev.prost";"Počet ped.zam.";"Počet odb.zam.";"Počet neped.zam.";"Rozpočet v 2018";"Príspevok zo ŠR";"Dary";"Počet štud.odborov";"GPS1";"GPS2";"Typ zriaďovateľa"
"100000001";"Materská škola - Bratislava, Beskydská";"Beskydská 7";"81105 Bratislava-Staré Mesto";"";"MŠ celodenná výchova a vzdelávanie";"Slovenský";"36";"údaj nedostupný";"údaj nedostupný";"98,2";"30,8";"53,4";"45 323 €";"0 €";"0 €";"údaj nedostupný";"48,157427";"17,114898";"štátna"
"100000002";"Školská jedáleň pri MŠ - Bratislava, Beskydská";"Beskydská 7";"81105 Bratislava-Staré Mesto";"";"Škol. jedáleň/výdaj. ŠJ pri MŠ";"Nesleduje sa";"údaj nedostupný";"údaj nedostupný";"údaj nedostupný";"98,2";"30,8";"53,4";"45 323 €";"0 €";"0 €";"údaj nedostupný";"48,157427";"17,114898";"štátna"
"100000005";"Centrum PPP a prevencie - Bratislava, Brnianska 47A/7834/47A";"Brnianska 47A/7834/47A";"81104 Bratislava-Staré Mesto";"";"Centrum ped-psych. por. a prev";"Nesleduje sa";"údaj nedostupný";"údaj nedostupný";"údaj nedostupný";"0,0";"13,5";"1,5";"334 807 €";"315 751 €";"0 €";"údaj nedostupný";"48,163800";"17,087550";"štátna"
"100000006";"Školská jedáleň pri MŠ - Bratislava, Búdková";"Búdková 21";"81104 Bratislava-Staré Mesto";"";"Škol. jedáleň/výdaj. ŠJ pri MŠ";"Nesleduje sa";"údaj nedostupný";"údaj nedostupný";"údaj nedostupný";"98,2";"30,8";"53,4";"45 323 €";"0 €";"0 €";"údaj nedostupný";"48,154985";"17,089085";"štátna"
"100000007";"Materská škola - Bratislava, Búdková";"Búdková 21";"81104 Bratislava-Staré Mesto";"www.msbudkova.webnode.sk";"MŠ celodenná výchova a vzdelávanie";"Slovenský";"53";"údaj nedostupný";"údaj nedostupný";"98,2";"30,8";"53,4";"45 323 €";"0 €";"0 €";"údaj nedostupný";"48,154985";"17,089085";"štátna"
"100000008";"EP-CVČ - Bratislava, Búdková";"Búdková 21";"81103 Bratislava-Staré Mesto";"";"Centrum voľného času";"Nesleduje sa";"údaj nedostupný";"údaj nedostupný";"údaj nedostupný";"5,7";"0,0";"4,3";"653 €";"0 €";"0 €";"údaj nedostupný";"48,154985";"17,089085";"štátna"
"100000012";"MŠi pri ZŠ deti so  SP - Bratislava, Drotárska c.";"Drotárska cesta 48";"81104 Bratislava-Staré Mesto";"";"ŠMŠ pre sluchovo postihn.int.";"Slovenský";"33";"údaj nedostupný";"údaj nedostupný";"16,0";"0,0";"18,6";"1 135 300 €";"1 074 060 €";"0 €";"údaj nedostupný";"48,157203";"17,082795";"štátna"
"100000013";"ZŠ s MŠi so SP - Bratislava, Drotárska c.";"Drotárska cesta 48";"81104 Bratislava-Staré Mesto";"";"ZŠ pre sluchovo postihnutých i";"Slovenský";"80";"údaj nedostupný";"údaj nedostupný";"18,1";"1,0";"5,1";"1 135 300 €";"1 074 060 €";"0 €";"údaj nedostupný";"48,157203";"17,082795";"štátna"
"100000014";"ŠKD - ZŠi s MŠ žiak. SP - Bratislava, Drotárska c.";"Drotárska cesta 48";"81104 Bratislava-Staré Mesto";"";"Školský klub detí";"Slovenský";"údaj nedostupný";"údaj nedostupný";"údaj nedostupný";"16,0";"0,0";"18,6";"1 135 300 €";"1 074 060 €";"0 €";"údaj nedostupný";"48,157203";"17,082795";"štátna"
"100000015";"Internát - ZŠi žiak. SP - Bratislava, Drotárska c.";"Drotárska cesta 48";"81104 Bratislava-Staré Mesto";"";"Školský internát pri ŠpŠ";"Nesleduje sa";"56";"údaj nedostupný";"údaj nedostupný";"16,0";"0,0";"18,6";"1 135 300 €";"1 074 060 €";"0 €";"údaj nedostupný";"48,157203";"17,082795";"štátna"
